id,uri,observed_on,time_observed_at,scientific_name,common_name,rank,taxon_id,iconic_taxon,family,quality_grade,identifications_count,num_agreements,phenology,lat,lng,positional_accuracy,place_guess,photo_count,first_photo
353345277,https://www.inaturalist.org/observations/353345277,2026-04-25,2026-04-25T10:27:14+08:00,Gardenia jasminoides,山黃梔,species,210990,Plantae,Rubiaceae,research,1,1,,24.9659915355,121.625001985,2,"Shiding District, New Taipei City, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644747230/medium.jpg
353345653,https://www.inaturalist.org/observations/353345653,2026-04-25,2026-04-25T10:31:02+08:00,Elaeocarpus decipiens,杜英,species,428622,Plantae,Elaeocarpaceae,needs_id,0,0,,24.9659970835,121.6250107855,4,"Shiding District, New Taipei City, TW",4,https://inaturalist-open-data.s3.amazonaws.com/photos/644747743/medium.jpg
353345837,https://www.inaturalist.org/observations/353345837,2026-04-25,2026-04-25T10:46:14+08:00,Elaeocarpus decipiens,杜英,species,428622,Plantae,Elaeocarpaceae,needs_id,0,0,,24.9660216727,121.6249860456,3,"New Taipei, TW-NT-TP, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644748084/medium.jpg
353346276,https://www.inaturalist.org/observations/353346276,2026-04-25,2026-04-25T11:02:09+08:00,Ardisia cornudentata,雨傘仔,species,570387,Plantae,Primulaceae,research,2,2,,24.96623573,121.6249902866,4,"New Taipei, TW-NT-TP, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644748696/medium.jpg
353346452,https://www.inaturalist.org/observations/353346452,2026-04-25,2026-04-25T11:03:53+08:00,Antidesma japonicum,日本五月茶,species,556896,Plantae,Phyllanthaceae,needs_id,0,0,,24.9662474107,121.6249441189,3,"New Taipei, TW-NT-TP, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644748933/medium.jpg
353346559,https://www.inaturalist.org/observations/353346559,2026-04-25,2026-04-25T11:11:05+08:00,Trachelospermum asiaticum,細梗絡石,species,349229,Plantae,Apocynaceae,needs_id,0,0,,24.9663172163,121.6248638081,7,"New Taipei, TW-NT-TP, TW",5,https://inaturalist-open-data.s3.amazonaws.com/photos/644749162/medium.jpg
353346723,https://www.inaturalist.org/observations/353346723,2026-04-25,2026-04-25T11:16:19+08:00,Machilus thunbergii,紅楠,species,341952,Plantae,Lauraceae,needs_id,0,0,,24.9663197427,121.6248978617,3,"New Taipei, TW-NT-TP, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644749421/medium.jpg
353347000,https://www.inaturalist.org/observations/353347000,2026-04-25,2026-04-25T11:21:09+08:00,Freycinetia formosana,山露兜,species,577766,Plantae,Pandanaceae,research,1,1,,24.9663084946,121.6248673799,6,"New Taipei, TW-NT-TP, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644749887/medium.jpg
353347217,https://www.inaturalist.org/observations/353347217,2026-04-25,2026-04-25T11:22:12+08:00,Quercus glauca,青剛櫟,species,191183,Plantae,Fagaceae,research,1,1,,24.9663670304,121.6248141906,4,"New Taipei, TW-NT-TP, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644750228/medium.jpg
353347793,https://www.inaturalist.org/observations/353347793,2026-04-25,2026-04-25T11:23:26+08:00,Antidesma japonicum,日本五月茶,species,556896,Plantae,Phyllanthaceae,needs_id,0,0,,24.9663474788,121.6247635922,8,"New Taipei, TW-NT-TP, TW",5,https://inaturalist-open-data.s3.amazonaws.com/photos/644750920/medium.jpg
353348014,https://www.inaturalist.org/observations/353348014,2026-04-25,2026-04-25T11:29:17+08:00,Diospyros morrisiana,山紅柿,species,425419,Plantae,Ebenaceae,needs_id,0,0,,24.9663280683,121.6247051993,3,"Shiding District, New Taipei City, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644751503/medium.jpg
353348534,https://www.inaturalist.org/observations/353348534,2026-04-25,2026-04-25T11:30:59+08:00,Psychotria asiatica,九節木,species,427363,Plantae,Rubiaceae,needs_id,0,0,,24.9663280683,121.6247051993,3,"Shiding District, New Taipei City, TW",4,https://inaturalist-open-data.s3.amazonaws.com/photos/644752312/medium.jpg
353348707,https://www.inaturalist.org/observations/353348707,2026-04-25,2026-04-25T11:35:08+08:00,Mallotus paniculatus,白匏子,species,343804,Plantae,Euphorbiaceae,needs_id,0,0,,24.966331433,121.6246633445,4,"Shiding District, New Taipei City, TW",1,https://inaturalist-open-data.s3.amazonaws.com/photos/644752720/medium.jpg
353349091,https://www.inaturalist.org/observations/353349091,2026-04-25,2026-04-25T11:36:51+08:00,Glochidion acuminatum,裏白饅頭果,species,774040,Plantae,Phyllanthaceae,needs_id,0,0,,24.966331433,121.6246633445,4,"Shiding District, New Taipei City, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644753270/medium.jpg
353349448,https://www.inaturalist.org/observations/353349448,2026-04-25,2026-04-25T11:39:57+08:00,Pyrenaria microcarpa,烏皮茶,species,787036,Plantae,Theaceae,needs_id,0,0,,24.9664415285,121.6248262493,440,"Shiding District, New Taipei City, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644753927/medium.jpg
353349715,https://www.inaturalist.org/observations/353349715,2026-04-25,2026-04-25T11:42:21+08:00,Quercus glauca,青剛櫟,species,191183,Plantae,Fagaceae,research,1,1,,24.9663872686,121.6246272944,3,"Shiding District, New Taipei City, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644754309/medium.jpg
353349962,https://www.inaturalist.org/observations/353349962,2026-04-25,2026-04-25T11:45:12+08:00,Morella rubra,楊梅,species,551083,Plantae,Myricaceae,needs_id,0,0,,24.9663817727,121.6245511834,4,"Shiding District, New Taipei City, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644754843/medium.jpg
353350191,https://www.inaturalist.org/observations/353350191,2026-04-25,2026-04-25T11:47:38+08:00,Psychotria asiatica,九節木,species,427363,Plantae,Rubiaceae,needs_id,0,0,,24.9663784822,121.6245407347,6,"Shiding District, New Taipei City, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644755196/medium.jpg
353350343,https://www.inaturalist.org/observations/353350343,2026-04-25,2026-04-25T11:48:49+08:00,Calamus formosanus,黃藤,species,364884,Plantae,Arecaceae,needs_id,0,0,,24.9664071974,121.624484535,4,"New Taipei, TW-NT-TP, TW",1,https://inaturalist-open-data.s3.amazonaws.com/photos/644755430/medium.jpg
353350545,https://www.inaturalist.org/observations/353350545,2026-04-25,2026-04-25T11:50:15+08:00,Meliosma squamulata,綠樟,species,556015,Plantae,Sabiaceae,research,1,1,,24.9664214405,121.6244674921,4,"New Taipei, TW-NT-TP, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644755663/medium.jpg
353350786,https://www.inaturalist.org/observations/353350786,2026-04-25,2026-04-25T11:54:41+08:00,Ilex maximowicziana,倒卵葉冬青,species,708970,Plantae,Aquifoliaceae,needs_id,0,0,,24.9664338451,121.6244346305,6,"New Taipei, TW-NT-TP, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644756080/medium.jpg
353351043,https://www.inaturalist.org/observations/353351043,2026-04-25,2026-04-25T11:55:53+08:00,Ardisia quinquegona,小葉樹杞,species,570186,Plantae,Primulaceae,needs_id,0,0,,24.9664569382,121.6243558763,10,"Shiding District, New Taipei City, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644756540/medium.jpg
353351321,https://www.inaturalist.org/observations/353351321,2026-04-25,2026-04-25T11:57:54+08:00,Rhododendron latoucheae,西施花,species,348980,Plantae,Ericaceae,needs_id,0,0,,24.9664707316,121.6243169202,4,"Shiding District, New Taipei City, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644757018/medium.jpg
353351644,https://www.inaturalist.org/observations/353351644,2026-04-25,2026-04-25T11:59:49+08:00,Diospyros morrisiana,山紅柿,species,425419,Plantae,Ebenaceae,needs_id,0,0,,24.9664916168,121.6242913191,4,"Shiding District, New Taipei City, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644757476/medium.jpg
353351788,https://www.inaturalist.org/observations/353351788,2026-04-25,2026-04-25T12:02:59+08:00,Fissistigma oldhamii,瓜馥木,species,633687,Plantae,Annonaceae,needs_id,0,0,,24.9664698242,121.6242598081,3,"Shiding District, New Taipei City, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644757701/medium.jpg
353386929,https://www.inaturalist.org/observations/353386929,2026-04-25,2026-04-25T12:04:02+08:00,Ardisia sieboldii,樹杞,species,430679,Plantae,Primulaceae,needs_id,0,0,,24.9665369269,121.6242052083,5,"Shiding District, New Taipei City, TW",3,https://inaturalist-open-data.s3.amazonaws.com/photos/644811082/medium.jpg
353387038,https://www.inaturalist.org/observations/353387038,2026-04-25,2026-04-25T12:05:59+08:00,Prunus phaeosticta,墨點櫻桃,species,425425,Plantae,Rosaceae,needs_id,0,0,,24.9689667643,121.6255549961,1594,"Shiding District, New Taipei City, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644811256/medium.jpg
353387134,https://www.inaturalist.org/observations/353387134,2026-04-25,2026-04-25T12:07:40+08:00,Ilex maximowicziana,倒卵葉冬青,species,708970,Plantae,Aquifoliaceae,needs_id,0,0,,24.9666015252,121.6240494877,4,"Shiding District, New Taipei City, TW",2,https://inaturalist-open-data.s3.amazonaws.com/photos/644811419/medium.jpg
