unit_id,scientific,common,n_total,n_prior,n_pheno,n_photo,n_years,n_observers,first,last,near_50m
ERG-001,Elaeocarpus decipiens,杜英,15,10,0,15,5,10,2019-10-19,2026-07-05,11
ERG-002,Ardisia cornudentata,雨傘仔,10,5,0,10,3,10,2024-04-27,2026-09-20,2
ERG-003,Antidesma japonicum,日本五月茶,4,2,0,4,3,2,2024-11-28,2026-05-07,4
ERG-004,Trachelospermum asiaticum,細梗絡石,3,0,0,3,1,2,2026-04-25,2026-05-07,1
ERG-005,Machilus thunbergii,紅楠,11,10,0,11,4,9,2022-03-11,2026-04-25,7
ERG-006,Freycinetia formosana,山露兜,13,8,0,13,6,12,2019-11-17,2026-07-28,5
ERG-007,Quercus glauca,青剛櫟,4,3,0,4,2,4,2024-04-27,2026-04-25,4
ERG-008,Antidesma japonicum,日本五月茶,8,7,0,8,4,5,2023-06-21,2026-04-25,8
ERG-009,Diospyros morrisiana,山紅柿,1,0,0,1,1,1,2026-04-25,2026-04-25,1
ERG-010,Psychotria asiatica,九節木,10,9,0,10,5,6,2019-10-19,2026-04-25,9
ERG-011,Mallotus paniculatus,白匏子,33,32,1,33,9,18,2018-10-06,2026-04-25,4
ERG-012,Glochidion acuminatum,裏白饅頭果,9,8,0,9,2,5,2024-04-29,2026-04-25,2
ERG-013,Pyrenaria microcarpa,烏皮茶,17,15,1,17,6,10,2019-10-19,2026-06-18,8
ERG-014,Quercus glauca,青剛櫟,3,2,0,3,3,3,2019-10-28,2026-04-25,2
ERG-015,Morella rubra,楊梅,11,9,0,11,4,9,2019-03-30,2026-07-28,8
ERG-016,Psychotria asiatica,九節木,8,7,0,8,4,7,2019-10-19,2026-04-25,2
ERG-017,Calamus formosanus,黃藤,6,3,1,6,3,5,2022-04-30,2026-05-07,1
ERG-018,Meliosma squamulata,綠樟,46,42,7,46,9,24,2014-04-15,2026-09-19,4
ERG-019,Ilex maximowicziana,倒卵葉冬青,6,5,0,6,4,4,2019-10-19,2026-04-25,3
ERG-020,Ardisia quinquegona,小葉樹杞,13,9,0,13,5,6,2022-04-30,2026-09-19,5
ERG-021,Rhododendron latoucheae,西施花,37,34,2,37,9,21,2014-04-15,2026-09-20,2
ERG-022,Diospyros morrisiana,山紅柿,6,5,0,6,5,3,2019-10-19,2026-04-25,5
ERG-023,Fissistigma oldhamii,瓜馥木,37,35,0,37,7,22,2019-04-27,2026-09-20,1
ERG-024,Ardisia sieboldii,樹杞,5,4,0,5,3,3,2023-06-03,2026-04-25,2
ERG-025,Prunus phaeosticta,墨點櫻桃,25,24,0,25,9,14,2009-02-22,2026-04-25,1
ERG-026,Ilex maximowicziana,倒卵葉冬青,3,2,0,3,3,2,2019-10-19,2026-04-25,3
ERG-027,Machilus thunbergii,紅楠,14,13,0,14,8,8,2019-04-27,2026-04-25,3
ERG-028,Maesa perlaria formosana,臺灣山桂花,31,29,5,31,9,19,2018-03-31,2026-04-25,5
ERG-029,Calamus formosanus,黃藤,19,15,1,19,7,14,2019-08-18,2026-09-12,1
ERG-030,Wendlandia formosana,水金京,42,35,0,42,9,24,2018-12-08,2026-09-20,4
ERG-031,Gardenia jasminoides,山黃梔,32,24,2,32,9,15,2018-11-03,2026-05-09,5
ERG-032,Symplocos glauca,山羊耳,19,15,0,19,6,11,2020-02-22,2026-09-20,4
ERG-033,Trachelospermum asiaticum,細梗絡石,29,27,3,29,8,16,2019-06-08,2026-05-07,8
ERG-034,Diospyros morrisiana,山紅柿,1,0,0,1,1,1,2026-04-25,2026-04-25,1
ERG-035,Helicia cochinchinensis,紅葉樹,32,26,1,32,8,15,2010-11-24,2026-09-20,9
ERG-036,Diospyros morrisiana,山紅柿,2,1,0,2,2,1,2021-12-18,2026-04-25,2
ERG-037,Clerodendrum cyrtophyllum,大青,50,43,2,50,9,23,2018-07-24,2026-09-20,15
ERG-038,Hydrangea chinensis,華八仙,49,48,14,49,10,22,2008-02-16,2026-04-25,21
ERG-039,Glochidion rubrum,細葉饅頭果,11,10,0,11,8,3,2019-06-08,2026-04-25,10
