unit_id,base_obs_id,taxon_id,scientific,common,family,family_zh,lat,lng,elev_m,dist_m,quality
ERG-001,353345837,428622,Elaeocarpus decipiens,杜英,Elaeocarpaceae,杜英科,24.9660217,121.624986,525.0,0.0,needs_id
ERG-002,353346276,570387,Ardisia cornudentata,雨傘仔,Primulaceae,報春花科,24.9662357,121.6249903,528.0,23.8,research
ERG-003,353346452,556896,Antidesma japonicum,日本五月茶,Phyllanthaceae,葉下珠科,24.9662474,121.6249441,530.0,28.6,needs_id
ERG-004,353346559,349229,Trachelospermum asiaticum,細梗絡石,Apocynaceae,夾竹桃科,24.9663172,121.6248638,534.0,39.9,needs_id
ERG-005,353346723,341952,Machilus thunbergii,紅楠,Lauraceae,樟科,24.9663197,121.6248979,533.0,43.3,needs_id
ERG-006,353347000,577766,Freycinetia formosana,山露兜,Pandanaceae,露兜樹科,24.9663085,121.6248674,534.0,46.6,research
ERG-007,353347217,191183,Quercus glauca,青剛櫟,Fagaceae,殼斗科,24.966367,121.6248142,537.0,55.0,research
ERG-008,353347793,556896,Antidesma japonicum,日本五月茶,Phyllanthaceae,葉下珠科,24.9663475,121.6247636,539.0,60.6,needs_id
ERG-009,353348014,425419,Diospyros morrisiana,山紅柿,Ebenaceae,柿樹科,24.9663281,121.6247052,541.0,66.9,needs_id
ERG-010,353348534,427363,Psychotria asiatica,九節木,Rubiaceae,茜草科,24.9663281,121.6247052,541.0,66.9,needs_id
ERG-011,353348707,343804,Mallotus paniculatus,白匏子,Euphorbiaceae,大戟科,24.9663314,121.6246633,543.0,71.1,needs_id
ERG-012,353349091,774040,Glochidion acuminatum,裏白饅頭果,Phyllanthaceae,葉下珠科,24.9663314,121.6246633,543.0,71.1,needs_id
ERG-013,353349448,787036,Pyrenaria microcarpa,烏皮茶,Theaceae,山茶科,24.9663629,121.624643,544.0,75.2,needs_id
ERG-014,353349715,191183,Quercus glauca,青剛櫟,Fagaceae,殼斗科,24.9663873,121.6246273,545.0,78.3,research
ERG-015,353349962,551083,Morella rubra,楊梅,Myricaceae,楊梅科,24.9663818,121.6245512,548.0,86.0,needs_id
ERG-016,353350191,427363,Psychotria asiatica,九節木,Rubiaceae,茜草科,24.9663785,121.6245407,549.0,87.1,needs_id
ERG-017,353350343,364884,Calamus formosanus,黃藤,Arecaceae,棕櫚科,24.9664072,121.6244845,551.0,93.6,needs_id
ERG-018,353350545,556015,Meliosma squamulata,綠樟,Sabiaceae,清風藤科,24.9664214,121.6244675,552.0,95.9,research
ERG-019,353350786,708970,Ilex maximowicziana,倒卵葉冬青,Aquifoliaceae,冬青科,24.9664338,121.6244346,553.0,99.5,needs_id
ERG-020,353351043,570186,Ardisia quinquegona,小葉樹杞,Primulaceae,報春花科,24.9664569,121.6243559,555.0,107.9,needs_id
ERG-021,353351321,348980,Rhododendron latoucheae,西施花,Ericaceae,杜鵑花科,24.9664707,121.6243169,556.0,112.1,needs_id
ERG-022,353351644,425419,Diospyros morrisiana,山紅柿,Ebenaceae,柿樹科,24.9664916,121.6242913,557.0,115.6,needs_id
ERG-023,353351788,633687,Fissistigma oldhamii,瓜馥木,Annonaceae,番荔枝科,24.9664698,121.6242598,558.0,119.6,needs_id
ERG-024,353386929,430679,Ardisia sieboldii,樹杞,Primulaceae,報春花科,24.9665369,121.6242052,560.0,128.8,needs_id
ERG-025,353387038,425425,Prunus phaeosticta,墨點櫻桃,Rosaceae,薔薇科,24.9665716,121.6241216,562.0,138.1,needs_id
ERG-026,353387134,708970,Ilex maximowicziana,倒卵葉冬青,Aquifoliaceae,冬青科,24.9666015,121.6240495,564.0,146.1,needs_id
ERG-027,353387213,341952,Machilus thunbergii,紅楠,Lauraceae,樟科,24.966617,121.6240362,564.0,148.3,needs_id
ERG-028,353387311,700177,Maesa perlaria formosana,臺灣山桂花,Primulaceae,報春花科,24.966617,121.6240362,564.0,148.3,needs_id
ERG-029,353387366,364884,Calamus formosanus,黃藤,Arecaceae,棕櫚科,24.9666484,121.6240107,565.0,152.6,needs_id
ERG-030,353387455,705297,Wendlandia formosana,水金京,Rubiaceae,茜草科,24.9666484,121.6240107,565.0,152.6,needs_id
